ID,ORDER,SetORDER,Anxiety_A,Comfort_A,Safety_B,Anxiety_B,Comfort_B,Safety_B,
1,imagefirst,A_B,2.666666667,3,3.666666667,2.666666667,2,3,
2,imagefirst,A_B,4,4.333333333,3.333333333,4,4.666666667,4.666666667,
3,imagefirst,A_B,5,4.666666667,4.666666667,4.333333333,4.333333333,4.333333333,
4,imagefirst,A_B,1.666666667,2,2,1.333333333,2,2.333333333,
5,imagefirst,A_B,2.666666667,2,2.666666667,2,2,2.666666667,
6,imagefirst,A_B,3,4,3,1.666666667,5,2.666666667,
7,imagefirst,A_B,3.333333333,3.666666667,4,3.666666667,2.666666667,3.666666667,
8,imagefirst,A_B,4,3.666666667,4,3.333333333,3.666666667,4,
9,imagefirst,A_B,2.666666667,4,2.666666667,2,2.666666667,2.666666667,
10,imagefirst,A_B,2.666666667,3,3,2,2.333333333,2.333333333,
11,storyfirst,A_B,2.333333333,2.333333333,3.333333333,2,1.666666667,3,
12,storyfirst,A_B,3,2.666666667,3.666666667,4,4,3.666666667,
13,storyfirst,A_B,3,4,3,1,2.333333333,2.333333333,
14,storyfirst,A_B,3,4.666666667,4.666666667,3,3,3.666666667,
15,storyfirst,A_B,2.333333333,4,2.666666667,1.333333333,4,2.666666667,
16,storyfirst,A_B,2.333333333,2.666666667,2.333333333,1.333333333,1.666666667,1.666666667,
17,storyfirst,A_B,2,2,2.333333333,1.666666667,2.333333333,2.666666667,
18,storyfirst,A_B,3,3,2.666666667,1.666666667,2.333333333,2,
19,storyfirst,A_B,2.666666667,3,2.333333333,1.333333333,2,2,
20,storyfirst,A_B,2.666666667,3,3.333333333,1,2,2.666666667,
21,imagefirst,B_A,4.333333333,4.333333333,4.666666667,4.666666667,4.666666667,5,
22,imagefirst,B_A,2.666666667,2.333333333,3,2.666666667,3,3.333333333,
23,imagefirst,B_A,4.666666667,5.333333333,5.333333333,4.333333333,4.666666667,4.333333333,
24,imagefirst,B_A,3.666666667,2.666666667,2.666666667,4.333333333,2.666666667,2,
25,imagefirst,B_A,4,4,4,2,2.666666667,2.666666667,
26,imagefirst,B_A,4,3.666666667,3.666666667,4.333333333,4,4,
27,imagefirst,B_A,2.333333333,4.666666667,3.333333333,3,3.666666667,3.333333333,
28,imagefirst,B_A,4.666666667,4.666666667,4.666666667,3,3.333333333,3.333333333,
29,imagefirst,B_A,4.666666667,4,4,3,2.333333333,2.666666667,
30,imagefirst,B_A,3.666666667,4.333333333,3.666666667,2,1.666666667,2,
31,storyfirst,B_A,4.333333333,4.333333333,4.666666667,4.666666667,3.333333333,3.333333333,
21,storyfirst,B_A,2.666666667,2.333333333,3,2.666666667,3,3.333333333,
33,storyfirst,B_A,4.666666667,5.333333333,5.333333333,4.333333333,2.666666667,3,
34,storyfirst,B_A,3.666666667,2.666666667,2.666666667,4.333333333,3.333333333,3,
35,storyfirst,B_A,4,4,4,2,2,3,
36,storyfirst,B_A,4,3.666666667,3.666666667,4.333333333,3.666666667,3.666666667,
37,storyfirst,B_A,2.333333333,4.666666667,3.333333333,3,2,2.666666667,
38,storyfirst,B_A,4.666666667,4.666666667,4.666666667,3,2.666666667,3.333333333,
39,storyfirst,B_A,4.666666667,4,4,3,3.333333333,3,
40,storyfirst,B_A,3.666666667,4.333333333,3.666666667,2,2.666666667,3.666666667,